university,database_name,guide_url,,,,
UConn,British Library Newspapers,https://guides.lib.uconn.edu/britishlibrarynewspapers,,,,
UConn,British Periodicals,https://guides.lib.uconn.edu/EBP,,,,
UConn,BroadwayHD Collection,https://guides.lib.uconn.edu/broadwayhd,,,,
UConn,Browzine Library,https://guides.lib.uconn.edu/browzine,,,,
UConn,Burlington Free Press Historical Newspaper,https://guides.lib.uconn.edu/burlingtonfee,,,,
UConn,Burney Newspapers Collection,https://guides.lib.uconn.edu/BurneyColl,,,,
UConn,Business Source Complete,https://guides.lib.uconn.edu/BSComplete,,,,
UConn,CAB Abstracts,https://guides.lib.uconn.edu/CAB,,,,
UConn,Cambridge Companions,https://guides.lib.uconn.edu/CambridgeComp,,,,
UConn,Cambridge Companions to Literature and Classics,https://guides.lib.uconn.edu/CCLC,,,,
UConn,Cambridge Companions to Music,https://guides.lib.uconn.edu/CCM,,,,
UConn,"Cambridge Companions to Philosophy, Religion, and Culture",https://guides.lib.uconn.edu/CCPRC,,,,
UConn,Cambridge Core,https://guides.lib.uconn.edu/cco,,,,
UConn,Cambridge Histories Online,https://guides.lib.uconn.edu/cho,,,,
UConn,Catalog of U.S. Government Publications (CGP),https://guides.lib.uconn.edu/CGP,,,,
UConn,Center for Research Libraries Newspaper Collections,https://guides.lib.uconn.edu/CRLNewsColl,,,,
UConn,Chicago Manual of Style Online,https://guides.lib.uconn.edu/CMOS,,,,
UConn,Children's Literature & Culture (Gale),https://guides.lib.uconn.edu/childrenslitculture,,,,
UConn,Children's Literature and Culture (Adam Matthew),https://guides.lib.uconn.edu/ChildrenLitCulture,,,,
UConn,Chinese Newspapers Collection,https://guides.lib.uconn.edu/ChineseNewsColl,,,,
UConn,Chronicle of Higher Education,https://guides.lib.uconn.edu/ChronicleHigherEd,,,,
UConn,Churchill Archive,https://guides.lib.uconn.edu/churchillarchive,,,,
UConn,CINAHL Plus with Full Text,https://guides.lib.uconn.edu/CINAHL,,,,
UConn,Civil War Collection VI : Northeast Regimental Histories,https://guides.lib.uconn.edu/CivilWarCollection,,,,
UConn,Civil War Era,https://guides.lib.uconn.edu/amcivilwarera,,,,
UConn,Classical Scores Library,https://guides.lib.uconn.edu/ClassicalScores,,,,
UConn,Cochrane Database of Systematic Reviews,https://guides.lib.uconn.edu/CochraneSystemic,,,,
UConn,Cochrane Library,https://guides.lib.uconn.edu/CochraLibrary,,,,
